id,titulo,autor,genero,anio_publicacion,editorial,idioma,paginas,disponible,cliente_prestamo,fecha_prestamo,fecha_limite
21969,Libro 21969,Autor 2800,No ficción,1990,Planeta,Italiano,877,,,,
21970,Libro 21970,Autor 56,Infantil,1964,Penguin,Inglés,524,,,,
21971,Libro 21971,Autor 3685,Ciencia,1985,Salamandra,Alemán,349,,,,
21972,Libro 21972,Autor 348,Infantil,1985,Alfaguara,Italiano,176,,,,
21973,Libro 21973,Autor 771,Historia,2014,Salamandra,Español,453,,,,
21974,Libro 21974,Autor 3749,Romance,1977,HarperCollins,Español,621,,,,
21975,Libro 21975,Autor 951,Romance,1982,Alfaguara,Italiano,688,,,,
21976,Libro 21976,Autor 460,Misterio,2014,Anagrama,Italiano,426,,,,
21977,Libro 21977,Autor 1274,Ciencia,2003,Salamandra,Italiano,791,,,,
21978,Libro 21978,Autor 4593,Misterio,1955,Planeta,Italiano,650,,,,
21979,Libro 21979,Autor 1426,Misterio,2024,Penguin,Español,703,,,,
21980,Libro 21980,Autor 4602,Ciencia,1997,Salamandra,Español,480,,,,
21981,Libro 21981,Autor 4144,Historia,2018,Penguin,Alemán,560,,,,
21982,Libro 21982,Autor 3291,No ficción,2023,Salamandra,Francés,387,,,,
21983,Libro 21983,Autor 4990,Ficción,1977,Planeta,Inglés,664,,,,
21984,Libro 21984,Autor 916,No ficción,1965,Planeta,Español,807,,,,
21985,Libro 21985,Autor 161,Infantil,1975,Anagrama,Inglés,488,,,,
21986,Libro 21986,Autor 2874,Fantasía,1999,Penguin,Español,456,,,,
21987,Libro 21987,Autor 1913,Terror,2003,HarperCollins,Español,102,,,,
21988,Libro 21988,Autor 4040,Ciencia,1962,Planeta,Italiano,927,,,,
21989,Libro 21989,Autor 2826,No ficción,2014,Anagrama,Francés,255,,,,
21990,Libro 21990,Autor 4070,Historia,1984,Planeta,Francés,258,,,,
21991,Libro 21991,Autor 4204,No ficción,1978,Salamandra,Español,495,,,,
21992,Libro 21992,Autor 2787,Infantil,1980,Salamandra,Italiano,764,,,,
21993,Libro 21993,Autor 1012,Misterio,1961,Alfaguara,Alemán,457,,,,
21994,Libro 21994,Autor 866,Romance,2018,Planeta,Francés,517,,,,
21995,Libro 21995,Autor 419,Fantasía,1981,Alfaguara,Alemán,895,,,,
21996,Libro 21996,Autor 912,No ficción,1959,Alfaguara,Francés,931,,,,
21997,Libro 21997,Autor 3104,Historia,1954,HarperCollins,Alemán,691,,,,
21998,Libro 21998,Autor 2136,Ficción,1976,Alfaguara,Italiano,562,,,,
21999,Libro 21999,Autor 249,No ficción,1988,Alfaguara,Español,335,,,,
22000,Libro 22000,Autor 1620,Historia,1970,Alfaguara,Italiano,681,,,,
22001,Libro 22001,Autor 837,Misterio,1965,Planeta,Italiano,972,,,,
22002,Libro 22002,Autor 4182,Historia,1978,Salamandra,Español,593,,,,
22003,Libro 22003,Autor 509,Historia,2020,Salamandra,Español,933,,,,
22004,Libro 22004,Autor 3495,No ficción,1963,Planeta,Inglés,653,,,,
22005,Libro 22005,Autor 2550,Terror,1990,Anagrama,Italiano,403,,,,
22006,Libro 22006,Autor 3335,Romance,2023,Penguin,Alemán,292,,,,
22007,Libro 22007,Autor 3791,Romance,1990,HarperCollins,Francés,725,,,,
22008,Libro 22008,Autor 4079,Fantasía,1993,Planeta,Español,792,,,,
22009,Libro 22009,Autor 61,Ciencia,2022,Anagrama,Español,649,,,,
22010,Libro 22010,Autor 4323,Misterio,1965,Anagrama,Italiano,481,,,,
22011,Libro 22011,Autor 2752,Terror,1973,HarperCollins,Español,957,,,,
22012,Libro 22012,Autor 1597,Romance,1970,Anagrama,Francés,397,,,,
22013,Libro 22013,Autor 2730,Infantil,2008,Salamandra,Francés,389,,,,
22014,Libro 22014,Autor 3795,Romance,1988,Salamandra,Italiano,886,,,,
22015,Libro 22015,Autor 2563,Historia,2020,Salamandra,Francés,117,,,,
22016,Libro 22016,Autor 3372,Misterio,1956,Planeta,Francés,416,,,,
22017,Libro 22017,Autor 1412,Fantasía,1977,Salamandra,Alemán,815,,,,
22018,Libro 22018,Autor 1056,No ficción,2000,Salamandra,Francés,479,,,,
22019,Libro 22019,Autor 1253,Romance,1984,Alfaguara,Italiano,373,,,,
22020,Libro 22020,Autor 3589,Ciencia,2007,Planeta,Español,289,,,,
22021,Libro 22021,Autor 4447,Fantasía,1959,Anagrama,Italiano,424,,,,
22022,Libro 22022,Autor 153,Romance,1987,Penguin,Francés,699,,,,
22023,Libro 22023,Autor 2702,Terror,1981,Salamandra,Italiano,210,,,,
22024,Libro 22024,Autor 1015,Terror,2011,Penguin,Inglés,789,,,,
22025,Libro 22025,Autor 2687,Fantasía,1999,Alfaguara,Español,818,,,,
22026,Libro 22026,Autor 2210,No ficción,1990,Salamandra,Francés,612,,,,
22027,Libro 22027,Autor 1156,Infantil,1996,Anagrama,Alemán,901,,,,
22028,Libro 22028,Autor 2960,Infantil,1951,Alfaguara,Francés,188,,,,
22029,Libro 22029,Autor 4989,Romance,1991,Salamandra,Inglés,408,,,,
22030,Libro 22030,Autor 3192,Romance,1953,Alfaguara,Italiano,998,,,,
22031,Libro 22031,Autor 4666,Fantasía,1950,Alfaguara,Francés,877,,,,
22032,Libro 22032,Autor 3317,Ficción,1971,Salamandra,Alemán,722,,,,
22033,Libro 22033,Autor 2772,Historia,1960,Penguin,Francés,905,,,,
22034,Libro 22034,Autor 2797,Historia,1960,HarperCollins,Español,315,,,,
22035,Libro 22035,Autor 583,Ciencia,1963,Anagrama,Francés,210,,,,
22036,Libro 22036,Autor 4227,Romance,2022,Alfaguara,Alemán,761,,,,
22037,Libro 22037,Autor 3213,Ciencia,2008,Salamandra,Italiano,725,,,,
22038,Libro 22038,Autor 3716,Fantasía,1967,Alfaguara,Italiano,471,,,,
22039,Libro 22039,Autor 1240,No ficción,2010,Planeta,Español,665,,,,
22040,Libro 22040,Autor 2751,Misterio,1973,Planeta,Italiano,479,,,,
22041,Libro 22041,Autor 404,Misterio,1976,Planeta,Francés,184,,,,
22042,Libro 22042,Autor 3768,Romance,1984,Anagrama,Italiano,281,,,,
22043,Libro 22043,Autor 1855,Romance,2017,HarperCollins,Italiano,980,,,,
22044,Libro 22044,Autor 810,Ficción,1971,Anagrama,Alemán,457,,,,
22045,Libro 22045,Autor 289,Fantasía,1960,Salamandra,Italiano,447,,,,
22046,Libro 22046,Autor 2728,No ficción,2020,Anagrama,Francés,717,,,,
22047,Libro 22047,Autor 4484,Fantasía,2007,Salamandra,Alemán,902,,,,
22048,Libro 22048,Autor 4654,Terror,1953,Penguin,Inglés,610,,,,
22049,Libro 22049,Autor 2573,Historia,2015,Anagrama,Italiano,723,,,,
22050,Libro 22050,Autor 3600,Romance,2014,Planeta,Italiano,320,,,,
22051,Libro 22051,Autor 3280,Ficción,1967,Planeta,Alemán,918,,,,
22052,Libro 22052,Autor 2140,Romance,2008,Alfaguara,Francés,536,,,,
22053,Libro 22053,Autor 4285,Misterio,1972,Salamandra,Inglés,983,,,,
22054,Libro 22054,Autor 1611,Romance,1953,Salamandra,Inglés,717,,,,
22055,Libro 22055,Autor 3104,Misterio,2002,Alfaguara,Italiano,586,,,,
22056,Libro 22056,Autor 3701,Ciencia,1989,Planeta,Alemán,390,,,,
22057,Libro 22057,Autor 4199,Romance,1989,Anagrama,Italiano,973,,,,
22058,Libro 22058,Autor 4509,Fantasía,2000,Anagrama,Español,496,,,,
22059,Libro 22059,Autor 3672,Fantasía,1958,Salamandra,Italiano,459,,,,
22060,Libro 22060,Autor 3403,Infantil,1972,HarperCollins,Español,359,,,,
22061,Libro 22061,Autor 1519,Misterio,1962,Anagrama,Español,933,,,,
22062,Libro 22062,Autor 183,Terror,1950,Penguin,Alemán,948,,,,
22063,Libro 22063,Autor 2678,Infantil,1959,Penguin,Español,692,,,,
22064,Libro 22064,Autor 331,Ciencia,1976,Anagrama,Inglés,163,,,,
22065,Libro 22065,Autor 596,Fantasía,1968,Alfaguara,Inglés,895,,,,
22066,Libro 22066,Autor 1311,Terror,1971,Alfaguara,Francés,464,,,,
22067,Libro 22067,Autor 2157,No ficción,1960,Alfaguara,Alemán,797,,,,
22068,Libro 22068,Autor 2379,Ficción,2024,Penguin,Español,992,,,,
22069,Libro 22069,Autor 4337,Romance,1965,Planeta,Italiano,416,,,,
22070,Libro 22070,Autor 2071,Romance,1978,Salamandra,Alemán,485,,,,
22071,Libro 22071,Autor 820,No ficción,1979,HarperCollins,Español,331,,,,
22072,Libro 22072,Autor 2827,Romance,1960,Salamandra,Español,395,,,,
22073,Libro 22073,Autor 1330,Fantasía,2006,Alfaguara,Inglés,433,,,,
22074,Libro 22074,Autor 2017,No ficción,2014,Anagrama,Alemán,764,,,,
22075,Libro 22075,Autor 3354,Infantil,1955,Planeta,Español,934,,,,
22076,Libro 22076,Autor 1217,Infantil,1984,HarperCollins,Francés,991,,,,
22077,Libro 22077,Autor 2629,Ciencia,2008,Planeta,Alemán,497,,,,
22078,Libro 22078,Autor 1670,Ficción,1963,Anagrama,Alemán,391,,,,
22079,Libro 22079,Autor 3400,Historia,1992,Planeta,Español,507,,,,
22080,Libro 22080,Autor 2055,No ficción,1995,HarperCollins,Alemán,711,,,,
22081,Libro 22081,Autor 3287,Historia,1971,Anagrama,Inglés,622,,,,
22082,Libro 22082,Autor 3553,Romance,2009,Penguin,Inglés,317,,,,
22083,Libro 22083,Autor 2798,No ficción,1951,Planeta,Italiano,872,,,,
22084,Libro 22084,Autor 4354,Ficción,2018,Anagrama,Inglés,687,,,,
22085,Libro 22085,Autor 2017,Ciencia,1964,Planeta,Italiano,666,,,,
22086,Libro 22086,Autor 3635,Infantil,1999,Anagrama,Italiano,345,,,,
22087,Libro 22087,Autor 1789,Misterio,2005,Alfaguara,Español,355,,,,
22088,Libro 22088,Autor 1050,Misterio,2012,Planeta,Italiano,992,,,,
22089,Libro 22089,Autor 1866,Infantil,1984,Alfaguara,Español,451,,,,
22090,Libro 22090,Autor 3904,Romance,1975,Alfaguara,Italiano,592,,,,
22091,Libro 22091,Autor 3280,Ciencia,1976,Penguin,Francés,356,,,,
22092,Libro 22092,Autor 301,Ciencia,1968,Alfaguara,Italiano,928,,,,
22093,Libro 22093,Autor 3150,Romance,1986,Planeta,Alemán,971,,,,
22094,Libro 22094,Autor 4047,Infantil,1985,Planeta,Español,487,,,,
22095,Libro 22095,Autor 2830,Fantasía,1989,HarperCollins,Inglés,861,,,,
22096,Libro 22096,Autor 1415,Historia,2012,Alfaguara,Francés,420,,,,
22097,Libro 22097,Autor 4695,Misterio,1988,Salamandra,Francés,188,,,,
22098,Libro 22098,Autor 2667,Terror,1961,Penguin,Inglés,795,,,,
22099,Libro 22099,Autor 2163,Misterio,1993,Anagrama,Italiano,544,,,,
22100,Libro 22100,Autor 1604,Romance,1997,Anagrama,Italiano,653,,,,
22101,Libro 22101,Autor 674,Ficción,1982,Anagrama,Español,454,,,,
22102,Libro 22102,Autor 1456,Misterio,1981,Penguin,Inglés,100,,,,
22103,Libro 22103,Autor 2742,No ficción,1971,Penguin,Francés,630,,,,
22104,Libro 22104,Autor 3595,Ciencia,1955,HarperCollins,Español,763,,,,
22105,Libro 22105,Autor 1074,Misterio,1979,HarperCollins,Italiano,588,,,,
22106,Libro 22106,Autor 535,No ficción,1966,Anagrama,Inglés,357,,,,
22107,Libro 22107,Autor 3790,Historia,1951,Alfaguara,Español,590,,,,
22108,Libro 22108,Autor 2048,Misterio,2004,Penguin,Italiano,350,,,,
22109,Libro 22109,Autor 204,Fantasía,1961,Alfaguara,Alemán,690,,,,
22110,Libro 22110,Autor 1040,Misterio,1961,HarperCollins,Español,947,,,,
22111,Libro 22111,Autor 2906,Misterio,2000,Alfaguara,Italiano,148,,,,
22112,Libro 22112,Autor 4572,Romance,1997,Planeta,Italiano,401,,,,
22113,Libro 22113,Autor 3080,Terror,1988,Penguin,Francés,552,,,,
22114,Libro 22114,Autor 732,Fantasía,2019,Penguin,Alemán,892,,,,
22115,Libro 22115,Autor 280,Misterio,1950,Anagrama,Español,817,,,,
22116,Libro 22116,Autor 944,Misterio,1965,Salamandra,Inglés,547,,,,
22117,Libro 22117,Autor 2427,Misterio,1995,Anagrama,Español,968,,,,
22118,Libro 22118,Autor 2248,No ficción,2012,Anagrama,Francés,470,,,,
22119,Libro 22119,Autor 4444,Historia,2008,Planeta,Inglés,391,,,,
22120,Libro 22120,Autor 7,Ficción,1996,Anagrama,Francés,389,,,,
22121,Libro 22121,Autor 4755,Ficción,1965,Anagrama,Inglés,948,,,,
22122,Libro 22122,Autor 3541,Ficción,1995,Penguin,Inglés,458,,,,
22123,Libro 22123,Autor 3936,Infantil,1988,Salamandra,Francés,670,,,,
22124,Libro 22124,Autor 1603,Ficción,1999,Alfaguara,Francés,650,,,,
22125,Libro 22125,Autor 2824,Misterio,1998,Penguin,Español,771,,,,
22126,Libro 22126,Autor 4630,No ficción,1975,Alfaguara,Francés,327,,,,
22127,Libro 22127,Autor 2946,Misterio,1982,Penguin,Italiano,171,,,,
22128,Libro 22128,Autor 4440,Misterio,1969,Planeta,Alemán,913,,,,
22129,Libro 22129,Autor 1386,Ciencia,2021,Alfaguara,Francés,817,,,,
22130,Libro 22130,Autor 87,Romance,1990,Planeta,Español,745,,,,
22131,Libro 22131,Autor 3309,Historia,1960,Penguin,Inglés,605,,,,
22132,Libro 22132,Autor 4729,Infantil,2004,HarperCollins,Francés,401,,,,
22133,Libro 22133,Autor 4118,Historia,1996,Planeta,Francés,122,,,,
22134,Libro 22134,Autor 349,Ficción,1999,Anagrama,Alemán,608,,,,
22135,Libro 22135,Autor 2648,Misterio,1972,HarperCollins,Inglés,358,,,,
22136,Libro 22136,Autor 1280,Fantasía,2010,Penguin,Inglés,999,,,,
22137,Libro 22137,Autor 4122,Terror,1956,HarperCollins,Alemán,923,,,,
22138,Libro 22138,Autor 1458,Terror,1964,Planeta,Inglés,182,,,,
22139,Libro 22139,Autor 3307,Romance,1958,HarperCollins,Italiano,375,,,,
22140,Libro 22140,Autor 327,Infantil,1986,Penguin,Español,381,,,,
22141,Libro 22141,Autor 2675,No ficción,2008,HarperCollins,Italiano,142,,,,
22142,Libro 22142,Autor 4979,Romance,1977,Planeta,Italiano,420,,,,
22143,Libro 22143,Autor 4492,Ciencia,1955,Alfaguara,Francés,564,,,,
22144,Libro 22144,Autor 609,Misterio,1959,Alfaguara,Francés,363,,,,
22145,Libro 22145,Autor 3630,Infantil,1964,Salamandra,Francés,176,,,,
22146,Libro 22146,Autor 406,Misterio,1953,Salamandra,Italiano,722,,,,
22147,Libro 22147,Autor 2925,Fantasía,2007,Planeta,Inglés,369,,,,
22148,Libro 22148,Autor 3260,Historia,1964,Penguin,Italiano,288,,,,
22149,Libro 22149,Autor 4247,No ficción,1986,HarperCollins,Español,583,,,,
22150,Libro 22150,Autor 346,Terror,1951,Anagrama,Francés,693,,,,
22151,Libro 22151,Autor 653,Infantil,1996,Salamandra,Alemán,629,,,,
22152,Libro 22152,Autor 1678,Infantil,1977,Planeta,Español,847,,,,
22153,Libro 22153,Autor 2067,Historia,2018,HarperCollins,Español,276,,,,
22154,Libro 22154,Autor 3213,Fantasía,2022,Penguin,Francés,703,,,,
22155,Libro 22155,Autor 560,Misterio,2020,Salamandra,Alemán,788,,,,
22156,Libro 22156,Autor 4627,No ficción,2017,HarperCollins,Francés,435,,,,
22157,Libro 22157,Autor 3167,Historia,1968,Penguin,Francés,564,,,,
22158,Libro 22158,Autor 3408,Historia,1957,Planeta,Alemán,865,,,,
22159,Libro 22159,Autor 4213,Historia,1980,HarperCollins,Alemán,423,,,,
22160,Libro 22160,Autor 387,Infantil,1963,Anagrama,Italiano,865,,,,
22161,Libro 22161,Autor 4206,Infantil,1978,Salamandra,Español,582,,,,
22162,Libro 22162,Autor 3627,Infantil,1958,Anagrama,Italiano,384,,,,
22163,Libro 22163,Autor 655,Infantil,2019,HarperCollins,Francés,314,,,,
22164,Libro 22164,Autor 1830,No ficción,2009,Planeta,Inglés,168,,,,
22165,Libro 22165,Autor 3014,Fantasía,1994,Alfaguara,Italiano,610,,,,
22166,Libro 22166,Autor 2706,No ficción,2023,Penguin,Alemán,372,,,,
22167,Libro 22167,Autor 2150,Fantasía,2003,Alfaguara,Inglés,101,,,,
22168,Libro 22168,Autor 1579,Misterio,1994,Penguin,Inglés,305,,,,
22169,Libro 22169,Autor 652,Ciencia,1952,Penguin,Italiano,883,,,,
22170,Libro 22170,Autor 4937,Misterio,1985,Penguin,Francés,903,,,,
22171,Libro 22171,Autor 4181,Fantasía,1960,Alfaguara,Inglés,665,,,,
22172,Libro 22172,Autor 91,Historia,2022,Anagrama,Español,841,,,,
22173,Libro 22173,Autor 77,Terror,1955,Anagrama,Italiano,631,,,,
22174,Libro 22174,Autor 2454,Romance,1990,Anagrama,Alemán,207,,,,
22175,Libro 22175,Autor 1883,Infantil,2021,Planeta,Español,243,,,,
22176,Libro 22176,Autor 3702,Ficción,1990,Alfaguara,Alemán,392,,,,
22177,Libro 22177,Autor 1129,Terror,2011,Penguin,Francés,734,,,,
22178,Libro 22178,Autor 58,Terror,1958,Planeta,Alemán,178,,,,
22179,Libro 22179,Autor 2617,Misterio,1959,Planeta,Alemán,827,,,,
22180,Libro 22180,Autor 4986,Infantil,1990,Alfaguara,Francés,113,,,,
22181,Libro 22181,Autor 1323,Ciencia,1976,HarperCollins,Inglés,721,,,,
22182,Libro 22182,Autor 3268,Fantasía,2002,Salamandra,Francés,623,,,,
22183,Libro 22183,Autor 2733,Infantil,1953,HarperCollins,Inglés,312,,,,
22184,Libro 22184,Autor 1120,Ficción,1959,Anagrama,Español,478,,,,
22185,Libro 22185,Autor 1642,Ficción,1998,Anagrama,Francés,269,,,,
22186,Libro 22186,Autor 81,Fantasía,1968,Anagrama,Italiano,440,,,,
22187,Libro 22187,Autor 1009,Terror,2023,HarperCollins,Español,413,,,,
22188,Libro 22188,Autor 761,Infantil,1999,Salamandra,Alemán,619,,,,
22189,Libro 22189,Autor 1636,Ficción,1997,Planeta,Español,818,,,,
22190,Libro 22190,Autor 3591,Fantasía,1972,Planeta,Italiano,941,,,,
22191,Libro 22191,Autor 1785,Romance,1958,Planeta,Alemán,978,,,,
22192,Libro 22192,Autor 2121,Romance,2015,Anagrama,Inglés,588,,,,
22193,Libro 22193,Autor 2061,No ficción,1968,Salamandra,Francés,839,,,,
22194,Libro 22194,Autor 2340,Infantil,2021,HarperCollins,Español,473,,,,
22195,Libro 22195,Autor 2444,Fantasía,2000,Salamandra,Italiano,706,,,,
22196,Libro 22196,Autor 4881,Terror,1960,Salamandra,Italiano,921,,,,
22197,Libro 22197,Autor 2248,Ciencia,1952,Anagrama,Italiano,539,,,,
22198,Libro 22198,Autor 4547,Ficción,2010,Penguin,Francés,994,,,,
22199,Libro 22199,Autor 2457,Historia,1966,Anagrama,Español,838,,,,
22200,Libro 22200,Autor 911,Infantil,2022,Penguin,Alemán,736,,,,
22201,Libro 22201,Autor 2019,Ficción,1979,Salamandra,Alemán,317,,,,
22202,Libro 22202,Autor 4626,No ficción,1957,Penguin,Italiano,338,,,,
22203,Libro 22203,Autor 3312,Fantasía,1990,HarperCollins,Alemán,756,,,,
22204,Libro 22204,Autor 4613,Terror,1975,Salamandra,Español,374,,,,
22205,Libro 22205,Autor 4805,Ficción,1954,Planeta,Alemán,855,,,,
22206,Libro 22206,Autor 1574,Historia,2018,Alfaguara,Francés,295,,,,
22207,Libro 22207,Autor 2515,Ciencia,1973,Anagrama,Francés,398,,,,
22208,Libro 22208,Autor 549,Fantasía,2018,HarperCollins,Francés,603,,,,
22209,Libro 22209,Autor 2809,Fantasía,1985,Anagrama,Alemán,313,,,,
22210,Libro 22210,Autor 3556,No ficción,1966,Penguin,Español,956,,,,
22211,Libro 22211,Autor 2035,Fantasía,2019,Planeta,Francés,316,,,,
22212,Libro 22212,Autor 117,Terror,2020,Planeta,Italiano,545,,,,
22213,Libro 22213,Autor 4123,Fantasía,1995,Alfaguara,Italiano,294,,,,
22214,Libro 22214,Autor 3217,No ficción,2019,Penguin,Italiano,220,,,,
22215,Libro 22215,Autor 2844,Infantil,1981,Alfaguara,Alemán,413,,,,
22216,Libro 22216,Autor 1048,Misterio,2009,Anagrama,Italiano,815,,,,
22217,Libro 22217,Autor 584,Infantil,1991,Planeta,Alemán,611,,,,
22218,Libro 22218,Autor 1619,Romance,1989,Planeta,Francés,452,,,,
22219,Libro 22219,Autor 1918,Fantasía,1976,Alfaguara,Español,452,,,,
22220,Libro 22220,Autor 386,No ficción,1954,Salamandra,Inglés,197,,,,
22221,Libro 22221,Autor 400,Infantil,2010,Salamandra,Francés,746,,,,
22222,Libro 22222,Autor 3850,Infantil,2010,Salamandra,Inglés,447,,,,
22223,Libro 22223,Autor 1370,Romance,2001,Penguin,Alemán,612,,,,
22224,Libro 22224,Autor 1012,Infantil,2024,Planeta,Francés,297,,,,
22225,Libro 22225,Autor 2642,Infantil,2015,HarperCollins,Inglés,772,,,,
22226,Libro 22226,Autor 2991,Terror,1956,Salamandra,Italiano,407,,,,
22227,Libro 22227,Autor 4390,Romance,1987,HarperCollins,Alemán,194,,,,
22228,Libro 22228,Autor 2976,No ficción,2000,Penguin,Italiano,673,,,,
22229,Libro 22229,Autor 4120,No ficción,1950,Penguin,Italiano,476,,,,
22230,Libro 22230,Autor 4057,Infantil,1998,Salamandra,Inglés,645,,,,
22231,Libro 22231,Autor 3308,Ciencia,2021,Alfaguara,Francés,281,,,,
22232,Libro 22232,Autor 2423,Ficción,1969,Penguin,Español,688,,,,
22233,Libro 22233,Autor 807,Terror,1991,Alfaguara,Inglés,342,,,,
22234,Libro 22234,Autor 3585,Ciencia,1965,Penguin,Inglés,220,,,,
22235,Libro 22235,Autor 673,Ficción,1982,HarperCollins,Alemán,710,,,,
22236,Libro 22236,Autor 2835,Misterio,1965,Planeta,Español,763,,,,
22237,Libro 22237,Autor 4336,Historia,1965,Penguin,Inglés,161,,,,
22238,Libro 22238,Autor 292,Ficción,1997,Penguin,Inglés,976,,,,
22239,Libro 22239,Autor 3000,Historia,2004,Salamandra,Inglés,518,,,,
22240,Libro 22240,Autor 867,Romance,1977,Penguin,Alemán,862,,,,
22241,Libro 22241,Autor 1239,Infantil,2022,HarperCollins,Inglés,983,,,,
22242,Libro 22242,Autor 2333,Ficción,1972,Anagrama,Alemán,483,,,,
22243,Libro 22243,Autor 3118,Terror,1979,Penguin,Inglés,322,,,,
22244,Libro 22244,Autor 4599,Misterio,2010,HarperCollins,Alemán,971,,,,
22245,Libro 22245,Autor 1354,No ficción,2024,Planeta,Alemán,450,,,,
22246,Libro 22246,Autor 4101,Ciencia,1975,HarperCollins,Inglés,248,,,,
22247,Libro 22247,Autor 3317,Infantil,1960,Penguin,Español,328,,,,
22248,Libro 22248,Autor 3858,Ciencia,1969,Planeta,Inglés,144,,,,
22249,Libro 22249,Autor 1769,Ciencia,1993,Salamandra,Español,644,,,,
22250,Libro 22250,Autor 2583,Fantasía,1967,HarperCollins,Alemán,377,,,,
22251,Libro 22251,Autor 2900,Ciencia,1983,Alfaguara,Alemán,142,,,,
22252,Libro 22252,Autor 3551,Ciencia,1953,Penguin,Italiano,903,,,,
22253,Libro 22253,Autor 4234,Fantasía,1963,Anagrama,Francés,407,,,,
22254,Libro 22254,Autor 2922,Fantasía,1962,HarperCollins,Alemán,700,,,,
22255,Libro 22255,Autor 1921,Terror,1990,Anagrama,Inglés,452,,,,
22256,Libro 22256,Autor 3607,Ficción,2006,HarperCollins,Alemán,316,,,,
22257,Libro 22257,Autor 2439,Ficción,1971,Planeta,Español,373,,,,
22258,Libro 22258,Autor 3516,Terror,1959,Anagrama,Italiano,452,,,,
22259,Libro 22259,Autor 1399,Fantasía,2018,Salamandra,Italiano,800,,,,
22260,Libro 22260,Autor 4307,Historia,2017,Penguin,Francés,406,,,,
22261,Libro 22261,Autor 2733,No ficción,1999,Anagrama,Francés,621,,,,
22262,Libro 22262,Autor 3026,Terror,1965,Penguin,Inglés,315,,,,
22263,Libro 22263,Autor 2112,Misterio,1960,Planeta,Italiano,251,,,,
22264,Libro 22264,Autor 1126,Terror,2017,Salamandra,Italiano,597,,,,
22265,Libro 22265,Autor 3387,Fantasía,2016,Salamandra,Francés,304,,,,
22266,Libro 22266,Autor 809,Historia,1969,Penguin,Francés,198,,,,
22267,Libro 22267,Autor 539,Infantil,2014,HarperCollins,Inglés,223,,,,
22268,Libro 22268,Autor 4371,Fantasía,1982,Penguin,Español,663,,,,
22269,Libro 22269,Autor 3557,Romance,1959,Anagrama,Inglés,179,,,,
22270,Libro 22270,Autor 3633,Romance,2016,Anagrama,Español,977,,,,
22271,Libro 22271,Autor 3378,No ficción,2004,HarperCollins,Italiano,917,,,,
22272,Libro 22272,Autor 777,Fantasía,1981,Penguin,Francés,196,,,,
22273,Libro 22273,Autor 999,Romance,1994,Penguin,Español,237,,,,
22274,Libro 22274,Autor 4118,Ciencia,2008,Penguin,Italiano,311,,,,
22275,Libro 22275,Autor 3001,Infantil,1980,Alfaguara,Francés,526,,,,
22276,Libro 22276,Autor 445,Ciencia,2001,Salamandra,Español,750,,,,
22277,Libro 22277,Autor 1797,Misterio,1959,Alfaguara,Alemán,915,,,,
22278,Libro 22278,Autor 1144,No ficción,1955,Salamandra,Francés,501,,,,
22279,Libro 22279,Autor 4231,Misterio,1950,Anagrama,Español,751,,,,
22280,Libro 22280,Autor 3188,Misterio,1995,Salamandra,Italiano,996,,,,
22281,Libro 22281,Autor 3269,Romance,2023,Anagrama,Francés,360,,,,
22282,Libro 22282,Autor 4069,Fantasía,1979,Planeta,Español,499,,,,
22283,Libro 22283,Autor 5000,Ficción,2012,Penguin,Francés,601,,,,
22284,Libro 22284,Autor 1870,Romance,2012,Anagrama,Alemán,730,,,,
22285,Libro 22285,Autor 2933,Terror,2023,Planeta,Francés,684,,,,
22286,Libro 22286,Autor 843,Ficción,1950,Salamandra,Inglés,356,,,,
22287,Libro 22287,Autor 3836,Fantasía,1969,Alfaguara,Francés,421,,,,
22288,Libro 22288,Autor 4936,Misterio,1978,Anagrama,Alemán,234,,,,
22289,Libro 22289,Autor 4119,Historia,1983,Penguin,Italiano,697,,,,
22290,Libro 22290,Autor 4556,No ficción,2015,Salamandra,Inglés,186,,,,
22291,Libro 22291,Autor 2705,Fantasía,2015,Anagrama,Español,929,,,,
22292,Libro 22292,Autor 1296,Historia,1951,Alfaguara,Español,603,,,,
22293,Libro 22293,Autor 4630,Infantil,2021,Planeta,Alemán,895,,,,
22294,Libro 22294,Autor 518,Misterio,2003,Planeta,Alemán,600,,,,
22295,Libro 22295,Autor 435,Ciencia,1967,Planeta,Inglés,703,,,,
22296,Libro 22296,Autor 177,Terror,1979,Salamandra,Español,955,,,,
22297,Libro 22297,Autor 459,Historia,1957,Penguin,Italiano,943,,,,
22298,Libro 22298,Autor 684,Fantasía,1991,Anagrama,Italiano,533,,,,
22299,Libro 22299,Autor 244,Ciencia,1978,Anagrama,Inglés,543,,,,
22300,Libro 22300,Autor 3221,Romance,2000,Planeta,Español,511,,,,
22301,Libro 22301,Autor 4274,Infantil,1973,HarperCollins,Alemán,418,,,,
22302,Libro 22302,Autor 2194,Infantil,1959,Alfaguara,Francés,601,,,,
22303,Libro 22303,Autor 47,Romance,1965,Salamandra,Español,677,,,,
22304,Libro 22304,Autor 3710,Infantil,1999,Anagrama,Alemán,509,,,,
22305,Libro 22305,Autor 1771,Ciencia,1990,Alfaguara,Alemán,169,,,,
22306,Libro 22306,Autor 2454,Ciencia,2003,Penguin,Español,648,,,,
22307,Libro 22307,Autor 3580,No ficción,1993,Anagrama,Español,923,,,,
